Exchange of spies, maybe	7	SECRETS
Words escape President Karzai?	14	AFGHANBLANKETH
Slip behind	3	LAG
Not, to Scots	3	NAE
Words before a deadline	5	DUEBY
His twin duped him	4	ESAU
Never-before-seen	5	NOVEL
Viking garment	5	TUNIC
Rebels against military forces?	15	BUCKETHBRIGADES
Fictional Doolittle	5	ELIZA
Questionnaire line	5	EMAIL
It has an expiration date	4	OBIT
Shot, as a photo	4	TOOK
Turn left or right, say	5	STEER
Govt. bodies may issue them	4	STDS
Place where leaves are collected	4	EAVE
"As rust corrupts iron, so ___ corrupts man": Antisthenes	4	ENVY
Mouth-to-mouth pro, briefly	3	EMT
N, on a French map	4	NORD
What to call an archbishop	9	YOURGRACE
Periscope users	9	ARMYTANKS
Just a memory now	4	OVER
Prized	3	PET
Set of morals	5	ETHIC
Thicket of trees	5	COPSE
Been-there-done-that	5	BLASE
Grant with Grammys	3	AMY
Pooh-poohs	8	SNEERSAT
Seamy	6	SORDID
Stake a claim	8	CALLDIBS
Tic-tac-toe line	3	OXO
Opposite of fast	5	BINGE
Reference volume, informally	5	ROGET
People without power, often	5	AMISH
[Nudge]	4	PSST
Lowly sort	4	PEON
Short, for short	3	LIL
Size up	3	EYE
"___ appetito!"	4	BUON
Pasta suffix	3	INI
U2's Bono, since 2007	3	SIR
Bring (out)	4	TROT
Start hankering	9	GETANITCH
Neighbor of Sudan: Abbr.	3	ETH
Anka's "___ Beso"	3	ESO
Like chimpanzees	6	SIMIAN
Datum in a college application	9	TESTSCORE
National clothing chain based in New York's Greenwich Village	5	JCREW
"Get ___ here!"	5	OUTTA
Many a Mormon	5	UTAHN
Tickle to pieces	5	ELATE
Actress Webb or Sevigny	5	CHLOE
Half-price bin abbr.	3	IRR
Footwear that's hard to run in	5	SABOT
"Wow, congrats!"	9	THATSHUGE
Reggae relative	3	SKA
Allergic response	5	ACHOO
Linked	6	TIEDIN
City SSW of Münster	5	ESSEN
Endured	5	STOOD
Wiped out	5	SPENT
Pertaining to hair	5	PILAR
In ___ (unconscious)	5	ACOMA
Sea's partner, commercially	3	SKI
Bizarro, to Superman	3	FOE
"Ten-hut!" yeller: Abbr.	3	SGT
Worsen	9	AGGRAVATE
Broke, as a promise	9	RENEGEDON
"Like, now!"	4	STAT
Black-and-white	8	SQUADCAR
Pound escapee, maybe	8	STRAYCAT
Weak, as a plot	4	THIN
Degrees in hist. or social sci.	3	BAS
Brooklyn ___, N.Y.	3	HTS
Ridiculous degree	3	NTH
White-bearded Kenyan	3	GNU
Photo groups on Facebook	6	ALBUMS
Cousin of a 55-Down	4	CLOG
Gets in the game	5	ANTES
Wimbledon no-no	5	FAULT
Coming-out party?	5	GENIE
Tiny addition to la familia	4	BEBE
Topples	5	KEELS
E, on a French map	3	EST
Chevy S.U.V.	5	TAHOE
When repeated, a luster's cry	5	HUBBA
When the stars come out, in ads	4	NITE
Benedict IV's successor	4	LEOV
Suffix with capital	3	IZE
A little butter?	3	KID
Colorado or Delaware, e.g.: Abbr.	3	RIV
Where to aim a telescope	3	SKY
Blubber	3	SOB
Updates electrically	7	REWIRES
Liturgical reference	6	MISSAL
Ivanhoe's lady	6	ROWENA
Spiritedly, in scores	7	ANIMATO
Santiago is its patron saint	6	ESPANA
Slip hider	6	ERASER
Dr. Westheimer telling it like it is?	14	GODSHONESTRUTH
Grammar class exercise	7	PARSING
Chief Ouray's tribe	3	UTE
Fourth word in the "Star Wars" opening crawl	3	AGO
Angel, e.g., for short	4	ALER
Something an office worker might file	4	NAIL
All you need to brew a lot of coffee?	12	RIGHTURNONLY
Huge opponents	8	GOLIATHS
Aging vessels?	4	VATS
Whence the phrase "sour grapes"	5	AESOP
Healthful husks	4	BRAN
Educ. group	3	PTA
Kind of talk	3	PEP
Male symbol components	6	ARROWS
What you might bow your head to get	3	LEI
Result of a plumbing disaster in the apartment above?	13	TOILETRAINING
Pitcher plant victim	3	FLY
Viscera	7	INNARDS
Playmate of Piglet	3	ROO
___ Gillis of 1960s TV	5	DOBIE
Spade, e.g., for short	3	TEC
Rapper's retinue	5	POSSE
Father of Ariadne	5	MINOS
Abbr. after many a capt.'s name	3	RET
Essence	4	PITH
Tome that makes a pub owner feel nostalgic?	17	THEBOOKOFLOSTALES
"Hard ___!"	4	ALEE
Pol Paul	3	RON
Cel	5	FRAME
Great trait	5	ASSET
Eighth or ninth word in the "Star Wars" opening crawl	3	FAR
Law school course	5	TORTS
1977 Sex Pistols song ... or their first record label	3	EMI
Longtime Buick model	7	CENTURY
Scottish seaport	3	AYR
Where to find a best-selling CD?	13	ONTHEFASTRACK
"Ghost Whisperer" skill	3	ESP
Bleach brand	6	CLOROX
Cabbage batch?	3	WAD
Julio to julio	3	ANO
Sacrament, e.g.	4	RITE
Tea leaves alternative	5	TAROT
Help, wrongly	4	ABET
"The Office" city	8	SCRANTON
Something kids might very well tune out?	12	THEPARENTRAP
Orange-roofed establishment, in brief	4	HOJO
Inter ___	4	ALIA
Author Deighton	3	LEN
Married mujer: Abbr.	3	SRA
Scoldings	7	EARFULS
Advice to Tin Man costume designers?	14	DONTRUSTANYONE
"Good Guys Wear Black" star, 1979	6	NORRIS
Strapped	6	INNEED
Topsy-turvy	7	UPENDED
Hickman who played 58-Across	6	DWAYNE
Subject of a Scottish mystery, informally	6	NESSIE
Good outcome	7	SUCCESS
Carpenter ___	3	ANT
Recording period	7	SESSION
"Anna Christie" playwright	6	ONEILL
Web site for Charlotte	4	BARN
Paper that dishes dirt	3	RAG
"Knock it off!"	6	ENOUGH
Lumber dimensions	6	WIDTHS
"No more, thanks"	5	IMSET
Shout at a bowl	3	RAH
W.W. II command area	3	ETO
Voiced, in phonetics	6	SONANT
Quark/antiquark particle	5	MESON
Suffix with cruciverbal	3	IST
Exterminator, often	7	SPRAYER
Handel oratorio king	4	SAUL
Starting stake	4	ANTE
Bert who was a Leo, aptly	4	LAHR
Name on the street	3	REP
Algerian port	4	ORAN
Debugger's mission?	15	WARAGAINSTERROR
Stars can have big ones	4	EGOS
Free	6	GRATIS
Romance lang.	4	ITAL
Eye layer	4	UVEA
Galloping	5	RAPID
Living ___	5	LARGE
Touch, e.g.	4	IPOD
Damage to a paperback edition?	15	SOFTISSUEINJURY
Nocturnal fledgling	5	OWLET
College course, briefly	5	PSYCH
Radar image	4	BLIP
City near old silver mines	4	RENO
Scan for slips	9	PROOFREAD
"West Side Story" girl	5	ANITA
___ of Souls, Na'vi temple in "Avatar"	4	TREE
Composer Satie	4	ERIK
Like a ___ bricks	5	TONOF
Language from which "sky" and "egg" are derived	5	NORSE
Skeptical rejoinder	4	IBET
Arthur with a racket	4	ASHE
Shevat or Sivan	5	MONTH
Poetry contests	5	SLAMS
Exterminator's target	4	PEST
___ Zoo	5	BRONX
___ cloud (solar system outlier)	4	OORT
Cross out	4	OMIT
Opposite of stout	4	LANK
"Is that ___?"	5	AFACT
Eric Clapton love song	5	LAYLA
Once, formerly	4	ERST
Variety	4	TYPE
Its crown is in your head	5	TOOTH
Waste line	5	SEWER
Cocktail party serving	6	CANAPE
College course, briefly	4	ECON
Karma	4	FATE
___ avis	4	RARA
Pivots	7	ROTATES
Attic scurrier	7	ROOFRAT
Galoots	4	APES
Ethnic group including Zulus	6	BANTUS
Walked boldly	6	STRODE
Port sights	6	CRANES
Nonplussed	6	THROWN
Duck	5	ELUDE
"This I Promise You" band, 2000	5	NSYNC
Ken of "thirtysomething"	4	OLIN
Good situation for a server	4	ADIN
Unattended	4	LONE
Imarets, e.g.	4	INNS
"___ partridge in ..."	4	ANDA
V.I.-to-Trinidad dir.	3	SSE
King, in Portuguese	3	REI
Toon for which Hank Azaria won a 1998 Emmy	3	APU
Japanese I.T. giant	3	NEC
Mag. team	3	EDS
Letter-shaped woodworking vise	6	CCLAMP
Times, e.g.	4	FONT
Inuit word for "house"	4	IGLU
Butchers' offerings	6	TBONES
Former New Jersey governor James	6	FLORIO
"Typee" sequel	4	OMOO
Junket	4	TRIP
Out	6	ABSENT
Rolling in the grass?	11	LAWNBOWLING
Party leadership?	11	SOCIALCHAIR
Comic strip "___ and Janis"	4	ARLO
Parting locale	6	REDSEA
"Still ..."	6	EVENSO
Only person to win Emmys for acting, writing and directing	4	ALDA
1992 Robin Williams movie	4	TOYS
National Geographic inserts	4	MAPS
Mall attraction	4	SALE
Cookie holders	4	TINS
Medium power?	3	ESP
Verandas	6	LANAIS
Hypotheticals	3	IFS
"___ luego!"	5	HASTA
Intersection of the x and y axes	6	ORIGIN
Biologist Stephen Jay ___	5	GOULD
Buddhist sect	3	ZEN
"Who ___?"	3	AMI
Kind of artery	5	RENAL
Cross swords?	5	FENCE
Oct. ordeal for jrs.	4	PSAT
Zeniths	6	APICES
Lamp locales	8	BEDSIDES
The Father of Mexican Independence	7	HIDALGO
It may rain in these	6	SHEETS
Where a tab goes	4	SLOT
Botanical balm	4	ALOE
"Rule, Britannia" composer	4	ARNE
"The Oblong Box" author	3	POE
Heroin, slangily	4	SCAG
TV Guide info	7	AIRDATE
Stubbornness	8	ADAMANCY
Quick on the uptake	3	APT
Hinged fasteners	5	HASPS
Publication founded in 1952 featuring artwork that does the same thing as this puzzle	11	MADMAGAZINE
Suisse peaks	5	ALPES
___Kosh B'Gosh	3	OSH
Bittersweet performance	8	SWANSONG
Run longer than expected	7	ENDLATE
Dance move	4	STEP
Neither Rep. nor Dem.	3	IND
Headed for overtime	4	TIED
PlayStation alternative	4	XBOX
Monopoly token	4	SHOE
Nudge	6	POKEAT
Visibly very embarrassed	7	BEETRED
Like tennis serves	8	OVERHAND
Shells out	6	SPENDS
Mystique	4	AURA
Dumas's Monte Cristo, e.g.	5	COMTE
Propelled, in a way	5	OARED
Flight	3	LAM
Musical score abbr.	3	ARR
Lacking skill in	5	BADAT
Become depleted	6	RUNDRY
Hanukkah serving	5	LATKE
Camera type, briefly	3	SLR
1950 Asimov classic	6	IROBOT
Whup	3	TAN
"Joyeux" time	4	NOEL
Trillion: Prefix	4	TERA
Latin 101 word	4	AMAS
Bingo call	4	BTEN
1997 Peter Fonda role	4	ULEE
Electrician's need	6	PLIERS
Roman's country	6	PATRIA
Five-star review	4	RAVE
Place for breaking things?	11	NEWSCHANNEL
Classy publication?	11	SCHOOLPAPER
First name in soul	6	ARETHA
Morales of "La Bamba"	4	ESAI
Adequate, old-style	4	ENOW
Gold Glover Suzuki	6	ICHIRO
Narrow waterway	6	STRAIT
Rink fake-out	4	DEKE
A century in Washington: Abbr.	4	SENS
"Roger ___ Book of Film"	6	EBERTS
B, essentially	5	CFLAT
Mild cigar	5	CLARO
Humble	5	LOWLY
Some early New Yorker cartoons	5	ARNOS
1997 Will Smith/Tommy Lee Jones blockbuster, for short	3	MIB
Have-not	7	POORMAN
With 14-Down, what to do on the dotted lines to reveal six hidden things that have something in common with this puzzle	23	FOLDPAGESOAANDBARELINED
Elision	8	OMISSION
All alternative	4	NONE
One-piece vestments	5	TOGAS
What "ipso" means	6	ITSELF
Orange spots	6	GROVES
Woe for Fido	4	LICE
See 7-Down	23	UPINTHETOPANDBOTTOMROWS
Claws	6	TALONS
World Service airer	3	BBC
Labor Dept. watchdog	4	OSHA
Football Hall-of-Fame coach Greasy	5	NEALE
Writers Bagnold and Blyton	5	ENIDS
Rein, e.g.	5	STRAP
Gradually remove	4	WEAN
Like some elephants and all tigers	5	ASIAN
Come to the rescue	3	AID
Kind of infection	5	STAPH
"I Shot Andy Warhol" star Taylor	4	LILI
The like	4	SUCH
Pierre's girlfriends	5	AMIES
Planets, e.g.	4	ORBS
Casting requirement	4	REEL
Prefix with Chinese	4	INDO
Valve in some fireplaces	6	GASTAP
Han's hon	4	LEIA
Veer quickly	3	ZAG
Polar feature	6	ICECAP
Corey of "Stand By Me"	7	FELDMAN
Bamboo lover	5	PANDA
Vulgar person	6	SLEAZE
"Just ___!"	4	ASEC
Tour de France stage	5	ETAPE
Some Army NCO's	5	SSGTS
Patriotic women's org.	3	DAR
Trawler	7	DRAGGER
LAX data: Abbr.	4	ETDS
Bob Marley classic	7	ONELOVE
Edition: Abbr.	3	ISS
Ham on stage	6	EMOTER
Coquette	4	MINX
China's Sun ___-sen	3	YAT
R.N. locales	5	HOSPS
Put ___ to (end)	5	ASTOP
Tel Aviv coin	6	SHEKEL
"America" singer in "West Side Story"	5	ANITA
Eda who wrote "When Your Child Drives You Crazy"	6	LESHAN
Mental acuity	4	WITS
Fire	3	AXE
Correctional	5	PENAL
Prefix with -gon	4	DECA
Brain-busting	4	HARD
Lulu	4	ONER
Small vortex	4	EDDY
Jingle writer, maybe	5	ADMAN
Where to find Lux.	3	EUR
___ al-Fayed, companion of Princess Diana	4	DODI
Lopsided victory	4	ROUT
Part of an Ironman competition	8	MARATHON
Mowgli's friend in "The Jungle Book"	5	AKELA
Cold response?	3	BRR
Gershwin musical of 1928	7	ROSALIE
Monopoly token	6	TOPHAT
Engage in a certain college prank	6	STREAK
Nielsen of "The Naked Gun"	6	LESLIE
Star of "Charles in Charge"	4	BAIO
Skipjack and yellowfin	5	TUNAS
Like good guards	5	ALERT
More fresh	5	NEWER
Church recesses	5	APSES
Astronomer who lost part of his nose in a duel	5	BRAHE
Animal with four toes on its front feet and three toes on its back feet	5	TAPIR
Six-time U.S. Open champ	5	EVERT
___ Circus (ancient Roman arena)	5	NEROS
This, in Madrid	4	ESTA
Start of Massachusetts' motto	4	ENSE
This might make you red in the face	4	ACNE
X	3	CHI
Toxic chemical, for short	3	PCB
Ol' Blue Eyes	7	SINATRA
Forlorn	6	BEREFT
Chatty Cathy	6	GASBAG
Overdress, maybe	7	SMOTHER
"Yours" alternative	6	ASEVER
"Bam!" chef	6	EMERIL
Sorcerer behind Amin's rise to power?	14	THEWIZARDOFIDI
Brand X	6	NONAME
Sage	5	SOLON
"Top Gun" planes	4	MIGS
Sore	6	TENDER
"Come ___?" ("How are you?," in Italy)	3	STA
Military wear	5	KHAKI
Dodging midtown traffic?	11	TAXIEVASION
___ 101, world's tallest building, 2004-07	6	TAIPEI
Suicide squeeze result, for short	3	RBI
"___ Means I Love You" (1968 Delfonics hit)	4	LALA
1964 Cassius Clay announcement?	15	YOUCANCALLMEALI
Aspiring atty.'s hurdle	4	LSAT
Put in	5	ADDED
Kind of tour, for short	3	USO
Coach Parseghian	3	ARA
Something under a tired eye, maybe	5	POUCH
Suffix on era names	4	ZOIC
Calls of port?	3	AYS
Average karate instructor?	12	COMMONSENSEI
The Jackson 5 had five	5	AFROS
"The Black Cat" writer	3	POE
Long-distance call letters	3	ATT
"48___"	3	HRS
"Yummy! Here comes your tuna sashimi!"?	17	OPENWIDEANDSAYAHI
Taylor of apparel	3	ANN
It's just below les yeux	3	NEZ
"Catch-22" bomber pilot	3	ORR
Boston-to-Washington speedster	5	ACELA
Lightsaber-wielding hillbilly of TV?	12	JEDICLAMPETT
CD predecessors	3	LPS
Place to watch Truffaut, e.g.	4	CINE
Get up	5	ARISE
Private eye	3	TEC
Conditions	3	IFS
"Cheers!"	5	SKOAL
___-Rooter	4	ROTO
Invitation to cocktails with pianist Ramsey?	15	MARTINIANDLEWIS
Film character known for her buns	4	LEIA
Hoff who wrote and illustrated "Danny and the Dinosaur"	3	SYD
Like medieval Europe	6	FEUDAL
Rotisserie on a Hawaiian porch?	11	LANAITURNER
Solzhenitsyn topic	5	GULAG
Equal: Prefix	3	ISO
Judge of Israel, in Judges	6	GIDEON
Eye ___	4	TEST
It might hold the solution	5	FLASK
Graceful women	6	SYLPHS
Cranky question on the Himalayan trail?	14	AREWETHEREYETI
Pigtails, e.g.	6	PLAITS
Out for someone on the inside	6	PAROLE
1964 and 1976 Winter Olympics host	7	AUSTRIA
Don Quixote's squire	6	SANCHO
Ran off	6	SHOOED
Showy streakers	7	METEORS
Jet-setters' jets, once	4	SSTS
Blogger's preface	4	IMHO
"The Seven Joys of Mary," e.g.	4	NOEL
Part of Lawrence Welk's intro	4	ATWO
Popular laptop	8	THINKPAD
Tract for a tribe, briefly	3	REZ
"The Passion of the Christ" language	7	ARAMAIC
Donna Summer #1 hit	8	BADGIRLS
Those muchachos	4	ESOS
Call, as a game	3	REF
"On This Night of a Thousand Stars" musical	5	EVITA
UPS rival	5	FEDEX
Certain Caribbean, for short	5	TRINI
Home of the Palace of Nations	6	GENEVA
Like the stranger in Camus's "The Stranger"	6	AMORAL
D.C. V.I.P.	3	SEN
Luca ___, "The Godfather" character	5	BRASI
"We ___ please"	5	AIMTO
Collect slowly	5	GLEAN
7'4" former N.B.A. star Smits	3	RIK
___ meat	4	DELI
Farm layer	3	HEN
Comic Conway	3	TIM
Art exhibition hall	5	SALON
List heading	4	TODO
Autobahn auto	4	AUDI
Global warming panel concern	6	ICECAP
Faction	4	BLOC
1960s-'80s Red Sox nickname	3	YAZ
Too, in Toulon	5	AUSSI
Former Irish P.M. ___ de Valera	5	EAMON
Having heat?	5	ARMED
Thai neighbor	3	LAO
Offering at some bars	5	SUSHI
Taiwanese computer maker	4	ACER
"Get ___!"	4	THIS
Corolla part	5	PETAL
Synthetic fiber	5	ARNEL
"Holy cow!"	5	YOWZA
Eye-twisting display	5	OPART
Civil rights org.	5	NAACP
Sights on sore eyes?	5	STYES
One running a hot business?	5	FENCE
Bit of gossip	5	ONDIT
One who may have red eyes	5	DOPER
At attention	5	ERECT
Chip dip	5	SALSA
Got in illicitly	6	HACKED
Almost closed	4	AJAR
Lancelot portrayer, 1967	4	NERO
Capri, e.g.	5	ISOLA
N.Y.C. bus insignia	3	MTA
Baby	4	TINY
"The Bridges of Madison County" setting	4	IOWA
Get exactly right	4	NAIL
Loop loopers	3	ELS
Had ants in one's pants	8	FIDGETED
High-scoring baseball game	8	SLUGFEST
Adams of "Octopussy"	4	MAUD
Land that's largely desert: Abbr.	3	ISR
Lions or Bears	7	NFLTEAM
Narc's org.	3	DEA
Pizza slice, usually	6	EIGHTH
"Yes, indeed"	6	ITISSO
Features of Castilian speech	5	LISPS
Refuges	5	ASYLA
"A Tree Grows in Brooklyn" family name	5	NOLAN
Brings in	5	REAPS
Jones who sang "Sunrise / Looks like morning in your eyes"	5	NORAH
January, in Jalisco	5	ENERO
Seat, slangily	3	USH
Marketing leader?	4	TELE
Suffix with electro-	4	LYTE
Sleek, for short	4	AERO
Ado	4	STIR
Big Korean exports	4	KIAS
It may have redeye	3	PIC
Try to win	3	WOO
Morgue, for one	3	RUE
Despicable	3	LOW
World capital once called Philadelphia	5	AMMAN
Computer book inserts, often	3	CDS
Funny fellow	4	CARD
"Antiart" art	4	DADA
Gold, to Goya	3	ORO
1980s-'90s New York governor	5	CUOMO
Actress Thompson	3	LEA
Observe	4	OBEY
Medical sch. topic	4	ANAT
"The football fan is fingering the buttons on the remote ... he pushes the ___ and the game is on!"	9	FIRSTDOWN
Halfway house	3	INN
"He's prepared a ___ of popcorn for himself ..."	9	SUPERBOWL
Crunch-time helper	4	TEMP
"... and he's got Budweiser and Michelob on tap - excellent ___!"	10	DRAFTPICKS
Form popular among the Romantics	3	ODE
No. on a food label	3	RDA
Bergen dummy	5	SNERD
Go off course	3	YAW
Thoroughly wets	6	STEEPS
Perfumery bottles	5	VIALS
Eastern exercise	6	TAICHI
Up to, in brief	3	TIL
"Now he remembers setting $10 aside for pizza - he searches his jacket and finds it ___"	11	INTHEPOCKET
"But he forgot to place the order - we may be looking at a ___ here, folks"	8	LATECALL
Like birds of prey	7	TALONED
N.F.L.'er Manning	3	ELI
Mountain West Conference team	4	UTES
Nastase of tennis	4	ILIE
Lost power	5	WANED
A number of	7	SEVERAL
Hiker?	6	CENTER
Pirate treasure	7	PLUNDER
"He phones the pizzeria and tells them he wants full cheese and mushroom ___"	8	COVERAGE
Castaway's call	3	SOS
Not up	5	INBED
Green man?	5	NADER
Male meower	3	TOM
"The pizzeria's out of mushrooms, though, so he'll need to make a ___"	12	SUBSTITUTION
Film producer Apatow	4	JUDD
Veep Agnew	5	SPIRO
Big holding in Risk	4	ASIA
Mildness	6	LENITY
Like cartoon "Melodies"	6	MERRIE
Essayist Didion	4	JOAN
Lacks, briefly	5	HASNT
Vaulted recess	4	APSE
"O.K., he's ordered the pizza - but now his wife is moving around in front of the TV, making ___!"	12	SCREENPASSES
IntelliStation maker	3	IBM
Pertinent, in Latin	5	ADREM
1978 World Series M.V.P. Dent	5	BUCKY
Bronx cocktail ingredient	3	GIN
"He's looking for an opening, but she's doing a tremendous job of ___!"	8	BLOCKING
Impure	7	ALLOYED
Soft-soap	6	CAJOLE
"A Shot in the Dark" star, 1964	7	SELLERS
Muddled situation	5	SNAFU
Fashion's Wang	4	VERA
Sufficient, once	4	ENOW
Battery size	3	AAA
Wheeled table	7	TEACART
"Now he's spotted the pizza delivery boy, who's through the gate and crossing the ___!"	8	YARDLINE
"The pizza is $9.75 ... he hands the $10 off to the boy and waits for the ___"	11	QUARTERBACK
Wee bit	3	TAD
Novel ending	6	EPILOG
Amphetamine, slangily	5	UPPER
Heroic poet of Gaelic legend	6	OSSIAN
Ceiling	3	LID
Masked warrior	5	NINJA
Org. that accredits law schools	3	ABA
Suffix with special	3	IST
"Now he's got the pizza - but the TV's showing nothing but snow! He quickly gives it an ___ ..."	10	ONSIDEKICK
Periods of time	4	ERAS
"... and it works - the ___ is good!"	9	RECEPTION
